群組類別,主類別,名稱,名稱(英文),代表圖像,簡介,簡介(英文),類別,級別,郵遞區號,縣市,地址,經度,緯度,開放時間,開放時間(英文),休館日,休館日(英文),票價,票價(英文),聯絡人,聯絡人(英文),電話,傳真,email,FACEBOOK,網站,如何到達,如何到達(英文),公告日期,公告日期(英文),所屬主管機關,所屬主管機關(英文),來源網址,創建年代,創建年代(西元),作者,作者(英文),尺寸,尺寸(英文),材質,材質(英文),mainTypePK,點閱數
獨立書店,獨立書店,書林書店(臺北總店),,,,,,,106,臺北市 大安區,新生南路3段88號2樓之5,121.533353,25.018131,週一～五10:00-20:30｜例假日11:00～19:00，除夕～初三休,,,,,,,,886-2-23658617,886-2-23636630,vicky@bookman.com.tw,https://www.facebook.com/taipei.bookman.bookstore/,http://www.bookman.com.tw,捷運公館站3號出口,,,,,,,,,,,,,,,11,698
獨立書店,獨立書店,晶晶書庫,,,,,,,100,臺北市 中正區,羅斯福路3段210巷8弄8號1樓,121.529176,25.018129,週一～日13:30～21:30，週二公休（逢國定假日，正常營業）,,,,,,,,886-2-23642006,886-2-23649980,gingins@ginginbooks.com,晶晶 GinGin Store粉絲專頁,http://www.ginginbooks.com,捷運臺電大樓站2號出口,,,,,,,,,,,,,,,12,515
獨立書店,獨立書店,雅博客二手書店,,,,,,,106,臺北市 大安區,新生南路3段76巷9號1樓,121.533073,25.019203,週一～日12:00-22:00,,,,,,,,886-2-23628298,,ec@yabook.com.tw,https://www.facebook.com/yabooktpe/timeline,http://www.yabook.com.tw/main/modules/MySpace/index.php,捷運公館站或臺電大樓站，步行10分鐘,,,,,,,,,,,,,,,13,672
獨立書店,獨立書店,茉莉二手書店(師大店),,,,,,,106,臺北市 大安區,和平東路1段222號 B1,121.532106,25.026058,每日12:00-22:00，除夕～初四休,,,,,,,,886-2-23682238,886-2-23682125,sd@molliebook.com,,http://www.mollie.com.tw/Store_3.asp,捷運古亭站步行15分鐘，或公車「溫州街口」站,,,,,,,,,,,,,,,15,1588
獨立書店,獨立書店,舊香居,,,,,,,106,臺北市 大安區,龍泉街 81 號 1 樓,121.52934,25.022191,每日13:00-22:00，週一公休,,,,,,,,886-2-23680576,,jxjbooks@gmail.com,https://www.facebook.com/jxjbooks/timeline,http://blog.yam.com/user/jxjbooks.html,捷運臺電大樓站3號出口,,,,,,,,,,,,,,,16,391
獨立書店,獨立書店,禮筑外文書店,,,,,,,106,臺北市 大安區,金華街249-3號1樓（新生國小旁）,121.531042,25.029984,週一～六10:30-18:00，週日公休,,,,,,,,886-2-23968403,886-2-23968405,silexbk@ms51.hinet.net,禮筑外文書店 Silexbooks粉絲專頁,http://www.silexbooks.com.tw,捷運東門站,,,,,,,,,,,,,,,17,834
獨立書店,獨立書店,信誼小太陽親子書房(臺北重慶店),,,,,,,100,臺北市 中正區,重慶南路 2 段 75 號 1 樓,121.515419,25.029974,週一～週日 10:00～18:00,,,,,,,,886-2-23218986,,service@kimy.com.tw,,http://www.hsin-yi.org.tw/kidStore,捷運中正紀念堂站2號出口，步行7分鐘,,,,,,,,,,,,,,,19,1426
獨立書店,獨立書店,亞典藝術書店,,,,,,,106,臺北市 大安區,仁愛路3段122號B1,121.540381,25.037412,週一至週日 : 10:00~21:00 除夕~初三休,,,,,,,,"886-2-27845166#21, #22",,store-ra@artland.com.tw,亞典書店粉絲專頁,http://www.artland.com.tw,"捷運忠孝復興站2號出口右轉見江太太包子店後,繼續直走到福華飯店後右轉至仁愛路,繼續直走過彰化銀行後可見書店招牌(總計步行約15分)， 捷運大安站1號出口右邊巷子(信義路三段147巷)直走至仁愛路三段後左轉,過彰化銀行後可見招牌 (總計約10分鐘)",,,,,,,,,,,,,,,21,1616
獨立書店,獨立書店,古原軒書店,,,,,,,106,臺北市 大安區,建國南路2段157號,121.538121,25.028626,11:00-20:30，週日不定期公休,,,,,,,,886-2-23258041,,,,,公車「龍門國中」站，「大安國宅」站，「信義建國路口」站,,,,,,,,,,,,,,,22,1768
獨立書店,獨立書店,好樣本事VVG Something,,,,,,,106,臺北市 大安區,忠孝東路4段181巷40弄13號,121.549868,25.044067,週一～日12:00-21:00,,,,,,,,886-2-27731358,,vvgsomething@gmail.com,,http://vvgvvg.blogspot.tw,捷運忠孝敦化站7號出口，步行約10分鐘,,,,,,,,,,,,,,,23,640
獨立書店,獨立書店,花栗鼠繪本館,,,,,,,106,臺北市 大安區,忠孝東路4段147巷8號,121.549549,25.042324,週一~週五 10:00~18:00，週六週日11:00~19:00,,,,,,,,886-2-27782211,,service@shimarisu.com.tw,https://www.facebook.com/shimarisu.taipei,http://shimarisu2010.pixnet.net/blog,捷運忠孝敦化站7號出口,,,,,,,,,,,,,,,24,929
獨立書店,獨立書店,旅人書房Zeelandia Travel & Books,,,,,,,106,臺北市 大安區,青田街12巷12-2號2樓,121.531202,25.026998,週五：12:00-21:00，週六、 週日、週一：12:00-19:00，週二 - 週四：公休,,,,,,,,886-2-23224772,,ztbshop@gmail.com,Zeelandia Travel & Book,http://zeelandiabookshop.blogspot.tw/,捷運東門站或可搭北市公車0南、15、18、235、237、254、278、295、530、662、663、671、672、673、74、907、949、和平幹線、棕11、棕12、棕22及綠11至「溫州街口」站下車。,,,,,,,,,,,,,,,25,1375
獨立書店,獨立書店,蠹行文化聚合古書店,,,,,,,106,臺北市 大安區,青田街2巷25號,121.53045,25.028439,週一 - 週日： 13:00 到 21:00,,,,,,,,886-2-33221163,,fastreusecom@gmail.com,https://www.facebook.com/dushingbook,,捷運東門站5號出口，沿著永康街步行約10分鐘。,,,,,,,,,,,,,,,26,1373
獨立書店,獨立書店,下北沢世代,,,,,,,104,臺北市 中正區,和平西路二段141號2樓之1,121.522418,25.047978,周六～日：13:00~19:00，週一～五公休,,,,,,,,886-2-23145650,,shimokitazawa.books@gmail.com,https://www.facebook.com/shimokitazawa.books,,捷運「龍山寺」站3號出口直行約10分鐘，或可搭北市公車1、007、和平幹線及藍28至「和平中華路口」站下車；或12、202、205、212、223、246、250、253、260、307、604、670、671及673至「大埔街」站下車。,,,,,,,,,,,,,,,27,1405
獨立書店,獨立書店,胡思二手書店(士林店),,,,,,,111,臺北市 士林區,中正路235巷44號,121.526239,25.094178,每日12:00-22:00,,,,,,,,886-2-88615828,,whose.books@msa.hinet.net,胡思二手書店,http://whosebooks.myweb.hinet.net/1_1.htm,士林捷運站1號出口,,,,,,,,,,,,,,,29,422
獨立書店,獨立書店,田園城市生活風格書店,,,,,,,104,臺北市 中山區,中山北路2段72巷6號,121.52223,25.056968,週日～週三（Mon-Wed）10:00~19:00 週四～周六（Thu - Sat）10:00~20:00,,,,,,,,886-2-25319081,,gardenct@ms14.hinet.net,https://www.facebook.com/gardencity.bookstore/,http://www.gardencity.com.tw,捷運雙連站1號出口,,,,,,,,,,,,,,,30,1734
獨立書店,獨立書店,信鴿法國書店,,http://cloud.culture.tw/e_upload_ccacloud/festival/image/A0/B0/C0/D0/E0/F31/5192458b-a2de-4cd1-8e74-42e78f5caa23.JPG,1999年由推廣法國文化不遺餘力的施蘭芳女士創立。這是一個喚醒你閱讀慾望及看到玫瑰人生的法國書店，迥異於一般書店的深色貼皮木質書架，以暗色鋼鐵和玻璃為元素，融入原木書櫃，從巴黎延伸到臺北的小角落，現代中又傳溢一份優雅與純真的味道。每週都有新書上架，平台上的暢銷書排行榜，幾乎和法國同步。此外，書店亦有文化交流等的豐富活動。法國就在巷弄裡的一隅，讓您以書籍、音樂、電影、與交流活動感受法國及歐洲的空間。,,,,104,臺北市 中山區,松江路97巷9號一樓,121.534114,25.05116,週一～五9:30-18:30，週六～日11:00-19:00，除夕～初四休，非週末國定假日依網站公佈,,,,,,,,886-2-25172616,886-2-25178173,info@llp.com.tw,https://www.facebook.com/llp.com.tw,http://www.llp.com.tw/default/default.aspx,捷運松江南京站4號出口,,,,,,,,,,,,,,,31,798
獨立書店,獨立書店,莽葛拾遺二手書店,,,,,,,108,臺北市 萬華區,廣州街152巷4號1F,121.500547,25.036412,每日10:00-18:00,,,,,,,,886-2-23362717,,moungartraces@gmail.com,https://www.facebook.com/moungarbook/,,捷運龍山寺站,,,,,,,,,,,,,,,32,757
獨立書店,獨立書店,蘭臺藝廊,,,,,,,112,臺北市 北投區,義理街63巷2弄19號1樓,121.514727,25.118916,週一～日11:00-19:00，每週四公休(可預約),,,,,,,,886-2-28234549,,chimeilee12@gmail.com,,http://blog.xuite.net/maygallery/twblog,捷運石牌站1號出口,,,,,,,,,,,,,,,33,496
獨立書店,獨立書店,九份樂伯二手書店,,,,,,,224,新北市 瑞芳區(瑞芳鎮),九份 佛堂巷31號,121.841493,25.106696,週二-週四：11:00-16:30，週六-週日：11:00-17:00，週一、週五公休,,,,,,,,886-958-571502,,lobo32xl@yahoo.com.tw,九份樂伯,,從瑞芳火車站轉搭公車往九份,,,,,,,,,,,,,,,35,964
獨立書店,獨立書店,小小書房,,,,,,,234,新北市 永和區(永和市),文化路192巷4弄2-1號,121.515272,25.012721,每日11:30-22:30，全年無休｜不定期特休依據網站、店內公告,,,,,,,,886-2-29231925,886-2-29231926,smallidea2006@gmail.com,小小書房,http://blog.roodo.com/smallidea,捷運頂溪站2號出口，或可搭北市公車214，214直，239，241，243，244至「頂溪國小站」下車。,,,,,,,,,,,,,,,36,736
獨立書店,獨立書店,水木書苑,,,,,,,300,新竹市 新竹市,光復路2段101號（清華大學風雲樓一樓）,120.996665,24.796441,週一至五：09:00-20:00（寒假、暑假為09:00-19:00）；週六、日及國定假日：10:30-19:00,,,,,,,,886-3-5716800、886-3-5717694,886-3-5723552,fion@nthubook.com.tw,水木書苑,http://www.nthubook.com.tw,如搭高鐵可於高鐵「新竹」站下車，有免費接駁巴士，至「清華大學」站下車，或可搭新竹客運1、1甲、2、30路,,,,,,,,,,,,,,,38,2515
獨立書店,獨立書店,書酷英文書店 Suku Books,,,,,,,310,新竹縣 竹東鎮,東寧路1段207號,121.094046,24.726151,週一～日10:00-18:00,,,,,,,,886-3-5100571,886-3-5110459,sales@suku.com.tw,書酷英文書店 Suku Books,http://suku.com.tw,http://suku.com.tw/content/%E4%BA%A4%E9%80%9A%E8%B3%87%E8%A8%8A,,,,,,,,,,,,,,,39,613
獨立書店,獨立書店,軼田書集,,,,,,,360,苗栗縣 苗栗市,府前路160巷23號,120.816532,24.559982,週二~週六 14:00~21:00、週日 12:00~18:00，【公休】農曆除夕至初三、每週一,,,,,,,,886-37-362183,,yi_jian2005@yahoo.com.tw,https://www.facebook.com/yijian0725/,http://www.yi-jian.com,公車「國立苗中」站,,,,,,,,,,,,,,,40,786
獨立書店,獨立書店,蘇格貓底二手書咖啡店,,,,,,,300,新竹市 新竹市,光復路2段101號,120.996665,24.796441,週一至日：11:00-21:00,,,,,,,,886-3-5736096,,catstore5736096@gmail.com,蘇格貓底二手書咖啡屋,https://www.facebook.com/Socratescoffe,公車站「清華大學」站,,,,,,,,,,,,,,,41,371
獨立書店,獨立書店,台灣本土文化書局,,,,,,,400,臺中市 中區,三民路3段49號,120.68209,24.145685,週二～五12:30-20:30，週六12:30-17：00，週日～一公休,,,,,,,,886-4-22224160,,twbook49@gmail.com,台灣本土文化書局粉絲專頁,http://blog.roodo.com/taiwanbook,公車「臺中圖書館」站，「臺中公園」站,,,,,,,,,,,,,,,43,490
獨立書店,獨立書店,百利舊書坊,,,,,,,406,臺中市 北屯區,北屯路431-3號,120.700125,24.177765,每日9:30-21:30,,,,,,,,886-4-22468245,,,https://www.facebook.com/%E7%99%BE%E5%88%A9%E6%9B%B8%E5%9D%8A-126997247312062/,,公車「北新國中」站,,,,,,,,,,,,,,,44,1413
獨立書店,獨立書店,東海書苑,,,,,,,403,臺中市 西區,五權西二街104號,120.663741,24.136948,12:00-22:30，全年無休,,,,,,,,886-4-23783613,886-4-23783616,mail@thusbook.com.tw,東海書苑粉絲專頁,http://www.thusbook.com.tw,仁友客運59或89號（後火車站搭車）、臺中客運71號、統聯75號,,,,,,,,,,,,,,,45,627
獨立書店,獨立書店,魚麗人文主題書店,,,,,,,403,臺中市 西區,民權路177巷1號1樓,120.673751,24.142795,12:00-17:00、18:00-21:00，週三公休,,,,,,,,886-4-22259811,,shoal.epc@msa.hinet.net,魚麗人文主題書店‧魚麗共同廚房,http://blog.yam.com/shoal,公車「民權中華路口」站,,,,,,,,,,,,,,,49,520
獨立書店,獨立書店,午後書房,,,,,,,434,臺中市 龍井區(龍井鄉),藝術北街46巷2號（藝術街轉進藝術街72巷巷底處）,120.593548,24.188549,週二-週日 14:00-22:00，週一公休,,,,,,,,886-4-26529927,,jimmywu0505@hotmail.com,午後書房 二手書店,http://class.ruten.com.tw/user/index00.php?s=gyobi,公車「國際街口」或「國際街一巷」,,,,,,,,,,,,,,,51,716
獨立書店,獨立書店,虎尾厝沙龍,,,,,,,632,雲林縣 虎尾鎮,民權路51巷3號,120.435965,23.709741,週二-週五:13:00 - 21:00，週六:11:00 - 21:00，週日:11:00 - 19:00,,,,,,,,886-5-6313826,886-5-6310037,huwei.salon@gmail.com,虎尾厝‧SALON粉絲專頁,http://www.huweisalon.com,臺西客運虎尾站,,,,,,,,,,,,,,,52,749
獨立書店,獨立書店,成大舊書店,,,,,,,600,嘉義市 嘉義市,國華街117巷1號,120.449082,23.474242,每日9:00-22:00,,,,,,,,886-5-2232555,,,,,嘉義客運「BRT文化路口」站,,,,,,,,,,,,,,,53,635
獨立書店,獨立書店,洪雅書房,,,,,,,600,嘉義市 嘉義市,長榮街116號（近忠孝路、嘉基護理之家後方第二間）,120.450978,23.483546,每日14:00-21:30，全年無休,,,,,,,,886-5-2776540、886-929-536133,,hoanya.yu@gmail.com,洪雅書房粉絲專頁,http://blog.yam.com/hungya,公車「北門」站,,,,,,,,,,,,,,,54,870
獨立書店,獨立書店,達摩二手書坊,,,,,,,600,嘉義市 嘉義市,新榮路323號,120.444143,23.479138,每日10:00-21:00，週一公休,,,,,,,,886-5-2167988,886-5-2161913,jason2211187@yahoo.com.tw，damobooks@hotmail.com,https://www.facebook.com/Damobook/,http://www.damobooks.com.tw,嘉義火車站出站步行約5分鐘，或嘉義客運「中山」站,,,,,,,,,,,,,,,55,1072
獨立書店,獨立書店,金萬字書店,,,,,,,700,臺南市 中西區,忠義路2段6號（鄰近臺南孔廟）,120.202788,22.99103,每日10:00-21:30，週一公休,,,,,,,,886-6-2250191,,,https://www.facebook.com/JinWanZiShuJu,http://www.kingbooks.com.tw/,公車「忠義路」站,,,,,,,,,,,,,,,56,574
獨立書店,獨立書店,府城舊冊店,,,,,,,701,臺南市 東區,勝利路115號地下室(成大與南一中附近),120.217719,22.986472,週一-週三、週五-週六：10:00 - 22:00 ；週四：10:00 - 22:30；週日：12:00 - 22:00,,,,,,,,886-6-2763093,,tainancitybookstore@yahoo.com.tw,台南府城舊冊店,,可搭臺南市公車3、88、H62、黃6、黃7及黃幹線至「文化中心｣站下車。,,,,,,,,,,,,,,,57,518
獨立書店,獨立書店,珍古書坊,,,,,,,701,臺南市 東區,前鋒路180號,120.213541,22.995758,AM 10：00～PM 09：00 無事不休,,,,,,,,886-6-2357779,,a2632687@hotmail.com,台南 珍古書坊,http://www.jengood.tw,臺南火車站後站,,,,,,,,,,,,,,,58,1091
獨立書店,獨立書店,書林書店(高雄店),,,,,,,802,高雄市 苓雅區,五福一路77號2樓之1,120.315589,22.62774,週一～五 09:00-18:00，週六 11:00~19:00，週日 公休,,,,,,,,886-7-2290300,886-7-2221937,southbooks@bookman.com.tw,https://www.facebook.com/southbooks/timeline,http://www.bookman.com.tw/Store.aspx?advNo=35,捷運文化中心站3號出口,,,,,,,,,,,,,,,60,1725
獨立書店,獨立書店,致遠舊書店,,,,,,,830,高雄市 鳳山區(鳳山市),中山西路19-1號,120.354495,22.626311,每日17:00-22:00,,,,,,,,886-913-593632,,,,,捷運鳳山站,,,,,,,,,,,,,,,61,1200
獨立書店,獨立書店,復興二手書店,,,,,,,800,高雄市 新興區,新田路85-1號,120.3059,22.622941,週一～五10:00-12:00、15:00-22:00，週六～日15:00-22:00,,,,,,,,886-7-2410303,,barbarla0324@gmail.com,復興二手書店,,捷運中央公園站,,,,,,,,,,,,,,,62,970
獨立書店,獨立書店,時光二手書店,,,,,,,970,花蓮縣 花蓮市,建國路8號（花蓮市公所旁7-11對面巷子）,121.606992,23.982887,每日13:00-22:00，無公休日，年節公休另行公告。,,,,,,,,886-3-8358312,,bookslight@yahoo.com.tw,https://zh-tw.facebook.com/pages/%E6%99%82%E5%85%89%E4%BA%8C%E6%89%8B%E6%9B%B8%E5%BA%97/203747686323648,http://blog.roodo.com/bookslight,花蓮火車站編號1129「大同市場」站，1121「進豐街」站,,,,,,,,,,,,,,,64,957
獨立書店,獨立書店,舊書舖子,,,,,,,970,花蓮縣 花蓮市,光復街57號,121.606555,23.978155,週二-週日：13:00-22:00，週一公休,,,,,,,,886-3-8344586,,oldbookno8@yahoo.com.tw,舊書舖子粉絲專頁,,公車「台灣企銀」站,,,,,,,,,,,,,,,65,725
獨立書店,獨立書店,晃晃二手書店,,,,,,,950,臺東縣 台東市,漢陽南路139-1號,121.138227,22.76044,週一、週三-週日：14:00-22:00，週二公休,,,,,,,,886-914-073170,,089catbooks@gmail.com,晃晃二手書店,,公車「傳廣更生」站,,,,,,,,,,,,,,,66,743
獨立書店,獨立書店,佩績的店,,,"「佩績的店」成立於民國九十年，是一間專業的英文童書進口商。專注於「兒童文學」及「青少年文學」相關之書籍之進口及販售，因為專業使得「佩績的店」也逐漸在業界建立起獨特的口碑。除了在高雄唯一的實體商店之外，同時網路也於民國九十一年架設，經過數次的改版，期望能夠為讀者提供而多的服務。 
 
 
 
 民國九十四年開創「英文童書」租借的先例，民國九十五年於店裏開始舉辦各項推廣閱讀的活動，其中以「繪本導讀」、「英文讀書會」及寒暑假之「閱讀體驗營」，獲得最大的迴響，也給了南部的孩子提供了良好的英文閱讀環境。 
 
 
 
 在未來的幾年，我們仍會秉持初衷，在這個領域裏繼續努力。讓我們的下一代能有更好的英文學習資源及環境。",,,,,高雄市 三民區,山東街61號,120.311102,22.642847,週一 ~ 週六 9:00-18:00 (週日公休),,,,,,,,886-7-3135109,886-7-3135120,service@peggy-bookstore.com,,http://www.peggy-bookstore.com,,,,,,,,,,,,,,,,69,843
獨立書店,獨立書店,古今書廊(人文館),,,"從牯嶺街起家，生根台北，現落腳在「溫羅汀」書店街區，台電大樓旁巷內的老店：古今書廊，用其樸拙的風格，社區書店的親切，在台北都會中展現獨特風情。洗書、曬書、搶救一本好書，環保不是一種口號，而是一種生活的態度，你可以在古今書廊見證。
 
 人文館，有各式繪本、童書、CD、DVD、中外文學、文史哲用書，中外戰略戰史，典藏早期絕版書、期刊、雜誌等。
 
 從經、史、子、集到侯文詠、九把刀，或許，又能在旁邊羅門的詩集裡找回當年文藝青年的情懷，玩味書與書之間的微妙關係，也是逛書店與舊書買賣之外的收穫。",,,,,臺北市 中正區,羅斯福路三段244巷23號,121.530424,25.016634,每日12:00～22:00，除夕～初四公休,,,,,,,,886-2-23671797,,pnp.book@msa.hinet.net,https://www.facebook.com/pnpbook,http://pnpbook.blogspot.tw,捷運：從公館捷運站四號出口，出來之後直走，至台電大樓停下，久大文具行旁的巷子(海邊的卡夫卡那巷)，進入五十公尺後即可先看到博雅館招牌，再往前走三間，右手邊即為人文館。\公車：台電大樓站\汽車：汀洲路三軍總醫院有停車場,,,,,,,,,,,,,,,73,515
獨立書店,獨立書店,古今書廊(博雅館),,,"從牯嶺街起家，生根台北，現落腳在「溫羅汀」書店街區，台電大樓旁巷內的老店：古今書廊，用其樸拙的風格，社區書店的親切，在台北都會中展現獨特風情。洗書、曬書、搶救一本好書，環保不是一種口號，而是一種生活的態度，你可以在古今書廊見證。
 
 博雅館中，除了大專理工商農醫用書之外，還有中西畫冊、書法、攝影集、旅行書、自然圖鑑、食譜、音樂、命理、宗教、中英文小說、原文書等，更有各類歷史文獻與絕版好書。
 
 從梵谷、畢卡索到張大千、黃君璧漫遊無限幻想中，也許你還能在書海中找到心儀的攝影集，或書畫字帖。隨書畫遊山覽水，流連其間，玩味書與書之間的微妙關係。",,,,,臺北市 中正區,羅斯福路三段244巷17號,121.530609,25.016675,每日12:00～22:00，除夕～初四公休,,,,,,,,02-2363-6358,02-2363-6355,pnp.book@msa.hinet.net,https://www.facebook.com/pnpbook?fref=ts,http://www.pnpbook.com.tw/,捷運：從公館捷運站四號出口，出來之後直走，至台電大樓停下，久大文具行旁的巷子(海邊的卡夫卡那巷)，進入五十公尺後即可看到本店博雅館招牌。 \公車：台電大樓站 \汽車：汀洲路三軍總醫院有停車場,,,,,,,,,,,,,,,74,981
獨立書店,獨立書店,茉莉二手書店(影音館),,,"新影音館在2014年臘月遷移至現址， 
 
 同時轉型為二手影音產品(CD、DVD、黑膠唱片)專門店， 提供物超所值及多樣化的的影音商品讓顧客盡情選購， 地下一樓更規畫成多功能演藝廳，提供各類型講座及Live演唱。",,,,,臺北市 中正區,羅斯福路三段244巷10弄17號,121.531451,25.016188,每日12:00~22:00 （每年除夕至初四休）,,,,,,,,886-2-23677419,886-2-23642342,tm@molliebook.com,https://www.facebook.com/molliestoretm,http://www.mollie.com.tw/Store_4.asp,捷運公館站或是台電大樓站出來後，步行5分鐘皆可到達,,,,,,,,,,,,,,,75,549
獨立書店,獨立書店,茉莉二手書店(台中店),,,"茉莉走出台北的第一家分店，座落綠園道旁，面積廣達300坪。
 
 主要經營一般圖書、雜誌期刊、兒童圖書、影音產品、二手藝品...等。
 
 
 
 並設有「茉莉健康廚房」餐飲專區，
 
 提供寬敞的空間，舒暢的動線，讓讀者重拾「逛書店，淘好書」的樂趣，以少少的價格，獲得大大的回報。",,,,,臺中市 西屯區,公益路161號B1,120.662417,24.150739,12:00-22:00 （每年除夕至初四休）,,,,,,,,886-4-23050288,886-4-23052098,tc@molliebook.com,https://www.facebook.com/molliestoretc,http://www.mollie.com.tw/Store_5.asp,搭乘台中客運27、6107路或統聯客運81路於經國園道站下車步行約50公尺7-11旁,,,,,,,,,,,,,,,76,478
獨立書店,獨立書店,茉莉二手書店(高雄店),,,,,,,,高雄市 苓雅區,高雄市苓雅區新光路38號B1(高雄市立圖書館總館正對面),120.302118,22.611622,12:00~21:00,,,,,,,,886-7-2695221,886-7-2692750,kh@molliebook.com,https://www.facebook.com/pages/%E8%8C%89%E8%8E%89%E4%BA%8C%E6%89%8B%E6%9B%B8%E5%BA%97-%E9%AB%98%E9%9B%84%E5%BA%97/476730405732879?sk=timeline&ref=page_internal,http://www.mollie.com.tw/Store_7.asp,一、搭乘捷運於三多商圈下車，於一號出口出站，左轉沿著新光路右側步行約200公尺亞太財經大樓B1 二、搭乘公車100號、83號於自強三路口下車；214號於自強路口站下車。,,,,,,,,,,,,,,,85,912
